breed,animal_id,birth_month_year,animal_name,sex,sire,source_page,source_raw,3Pdep,3Pac,3Ptop,3Ptop_pct,MP120dep,MP120ac,MP120top,MP120top_pct,STAYdep,STAYac,STAYtop,STAYtop_pct,P450dep,P450ac,P450top,P450top_pct,PE365dep,PE365ac,PE365top,PE365top_pct,MGTedep,MGTeac,MGTetop,MGTetop_pct,metric_order
Sindi,MDVS 2644,03/10,DOM JOAO D,,EMGS 337,78,MDVS 2644 03/10 DOM JOAO D EMGS 337 70.03 9 25% -0.08 21 88% 65.39 13 38% 17.26 15 3% 1.44 10 6% 2 1 23.13 10 3%,70.03,9,25%,25.0,-0.08,21,88%,88.0,65.39,13,38%,38.0,17.26,15,3%,3.0,1.44,10,6%,6.0,23.13,10,3%,3.0,"3P,MP120,STAY,P450,PE365,MGTe"
Sindi,POP 3660,08/21,NOBRE P,,POP 2664,78,POP 3660 08/21 NOBRE P POP 2664 58.49 24 50% 0.24 13 71% 61.63 20 46% 6.75 14 20% 1.19 13 7% 2 1 13.22 8 23%,58.49,24,50%,50.0,0.24,13,71%,71.0,61.63,20,46%,46.0,6.75,14,20%,20.0,1.19,13,7%,7.0,13.22,8,23%,23.0,"3P,MP120,STAY,P450,PE365,MGTe"
Sindi,AJCA 1827,01/13,XILON,,DA ESTIVA,78,AJCA 1827 01/13 XILON DA ESTIVA 67.79 55 29% 2.49 47 5% 75.31 26 18% -17.03 10 97% 0.81 75 10% 116 2 8.88 10 39%,67.79,55,29%,29.0,2.49,47,5%,5.0,75.31,26,18%,18.0,-17.03,10,97%,97.0,0.81,75,10%,10.0,8.88,10,39%,39.0,"3P,MP120,STAY,P450,PE365,MGTe"
Sindi,OTPS 202,01/19,GURI FIV OT,,AJCA 1094,78,"OTPS 202 01/19 GURI FIV OT AJCA 1094 83.14 13 2% 1.86 12 11% 89.59 12 0,1% -4.62 11 87% 0.81 33 10% 9 1 21.01 7 5%",83.14,13,2%,2.0,1.86,12,11%,11.0,89.59,12,"0,1%",0.1,-4.62,11,87%,87.0,0.81,33,10%,10.0,21.01,7,5%,5.0,"3P,MP120,STAY,P450,PE365,MGTe"
Sindi,POP 1590,02/10,BOLERO P,,POP 1121,78,POP 1590 02/10 BOLERO P POP 1121 62.84 10 40% 1.74 11 13% 55.71 13 56% 24.87 9 1% 0.79 10 11% 2 1 15.26 9 17%,62.84,10,40%,40.0,1.74,11,13%,13.0,55.71,13,56%,56.0,24.87,9,1%,1.0,0.79,10,11%,11.0,15.26,9,17%,17.0,"3P,MP120,STAY,P450,PE365,MGTe"
Sindi,AJCF 167,04/11,CUPIDO AJCF,,AJCA 1094,78,AJCF 167 04/11 CUPIDO AJCF AJCA 1094 74.27 42 13% 1.48 31 19% 83.59 17 2% -10.55 8 95% 0.78 61 11% 28 1 11.06 8 31%,74.27,42,13%,13.0,1.48,31,19%,19.0,83.59,17,2%,2.0,-10.55,8,95%,95.0,0.78,61,11%,11.0,11.06,8,31%,31.0,"3P,MP120,STAY,P450,PE365,MGTe"
Sindi,RAJI 204,03/12,RAJA FIFOSO,,AJCF 47,78,RAJI 204 03/12 RAJA FIFOSO AJCF 47 74.78 12 12% 0.59 10 48% 80.26 12 6% 8.04 20 15% 0.77 35 11% 10 1 19.79 5 6%,74.78,12,12%,12.0,0.59,10,48%,48.0,80.26,12,6%,6.0,8.04,20,15%,15.0,0.77,35,11%,11.0,19.79,5,6%,6.0,"3P,MP120,STAY,P450,PE365,MGTe"
Sindi,JTSJ 76,02/15,HEBREU BOMPASTO,,AJCA 1094,78,JTSJ 76 02/15 HEBREU BOMPASTO AJCA 1094 75.37 10 11% 0.83 10 38% 82.96 9 3% -5.11 10 88% 0.74 32 12% 12 1 18.51 6 8%,75.37,10,11%,11.0,0.83,10,38%,38.0,82.96,9,3%,3.0,-5.11,10,88%,88.0,0.74,32,12%,12.0,18.51,6,8%,8.0,"3P,MP120,STAY,P450,PE365,MGTe"
Sindi,AJCA 1734,06/12,VILALOBOS DA ESTIVA,,AJCA 814,78,AJCA 1734 06/12 VILALOBOS DA ESTIVA AJCA 814 66.19 15 33% 1.42 10 21% 70.05 13 29% 8.67 8 13% 0.65 31 14% 6 1 13.58 5 22%,66.19,15,33%,33.0,1.42,10,21%,21.0,70.05,13,29%,29.0,8.67,8,13%,13.0,0.65,31,14%,14.0,13.58,5,22%,22.0,"3P,MP120,STAY,P450,PE365,MGTe"
Sindi,AJCA 1124,01/08,REGISTRO DA ESTIVA,,AJCA 780,78,AJCA 1124 01/08 REGISTRO DA ESTIVA AJCA 780 75.08 20 12% 2.90 14 3% 76.87 9 13% 8.24 19 15% 0.64 27 15% 4 1 19.53 8 7%,75.08,20,12%,12.0,2.9,14,3%,3.0,76.87,9,13%,13.0,8.24,19,15%,15.0,0.64,27,15%,15.0,19.53,8,7%,7.0,"3P,MP120,STAY,P450,PE365,MGTe"
Sindi,AJCA 1613,10/11,UNICEFANO DA ESTIVA,,AJCA 1084,78,AJCA 1613 10/11 UNICEFANO DA ESTIVA AJCA 1084 70.77 15 22% 1.03 11 32% 79.86 6 7% 12.49 9 7% 0.63 15 15% 3 1 23.81 6 3%,70.77,15,22%,22.0,1.03,11,32%,32.0,79.86,6,7%,7.0,12.49,9,7%,7.0,0.63,15,15%,15.0,23.81,6,3%,3.0,"3P,MP120,STAY,P450,PE365,MGTe"
Sindi,SOSS 4,01/10,DIVINO FIV CARIRI,,MDVS 1449,78,SOSS 4 01/10 DIVINO FIV CARIRI MDVS 1449 67.35 24 31% 2.94 14 3% 79.74 11 7% -3.78 10 85% 0.59 60 17% 50 1 14.64 9 19%,67.35,24,31%,31.0,2.94,14,3%,3.0,79.74,11,7%,7.0,-3.78,10,85%,85.0,0.59,60,17%,17.0,14.64,9,19%,19.0,"3P,MP120,STAY,P450,PE365,MGTe"
Sindi,MDVS 2643,03/10,DEVANEIO D,,EMGS 337,78,MDVS 2643 03/10 DEVANEIO D EMGS 337 79.22 5 5% 1.09 10 30% 75.95 11 16% 14.71 8 5% 0.59 13 17% 2 1 25.61 8 2%,79.22,5,5%,5.0,1.09,10,30%,30.0,75.95,11,16%,16.0,14.71,8,5%,5.0,0.59,13,17%,17.0,25.61,8,2%,2.0,"3P,MP120,STAY,P450,PE365,MGTe"
Sindi,FABE 85,10/09,CIBORG DA ASA BRANCA,,EMGS 405,78,FABE 85 10/09 CIBORG DA ASA BRANCA EMGS 405 75.50 38 11% -0.05 31 87% 74.60 17 20% 8.56 18 14% 0.54 48 20% 10 1 17.48 9 10%,75.5,38,11%,11.0,-0.05,31,87%,87.0,74.6,17,20%,20.0,8.56,18,14%,14.0,0.54,48,20%,20.0,17.48,9,10%,10.0,"3P,MP120,STAY,P450,PE365,MGTe"
Sindi,AJCA 2879,02/17,JACARE DA ESTIVA,,AJCA 1124,78,AJCA 2879 02/17 JACARE DA ESTIVA AJCA 1124 73.42 5 15% 3.41 7 2% 85.59 8 1% 8.27 6 15% 0.53 13 20% 2 1 24.28 6 3%,73.42,5,15%,15.0,3.41,7,2%,2.0,85.59,8,1%,1.0,8.27,6,15%,15.0,0.53,13,20%,20.0,24.28,6,3%,3.0,"3P,MP120,STAY,P450,PE365,MGTe"
Sindi,AJCA 1094,12/07,QUERENTE DA ESTIVA,,AJCA 679,78,AJCA 1094 12/07 QUERENTE DA ESTIVA AJCA 679 71.27 47 21% 2.20 41 7% 75.53 15 17% -5.76 4 89% 0.42 66 26% 59 3 8.85 4 39%,71.27,47,21%,21.0,2.2,41,7%,7.0,75.53,15,17%,17.0,-5.76,4,89%,89.0,0.42,66,26%,26.0,8.85,4,39%,39.0,"3P,MP120,STAY,P450,PE365,MGTe"
